occupied_month,num_under16,num_age16_24,num_age25_44,num_age45_64,num_over65
January,520.2888888888889,513.2666666666667,1666.2222222222222,1313.2,262.6222222222222
February,515.7111111111111,508.55555555555554,1690.9555555555555,1328.3777777777777,264.4888888888889
March,530.7555555555556,512.3333333333334,1719.7777777777778,1334.9555555555555,264.0444444444444
April,537.9333333333333,512.0888888888888,1682.3777777777777,1313.3555555555556,263.68888888888887
May,549.1333333333333,508.4222222222222,1671.8222222222223,1294.8444444444444,264.6666666666667
June,558.5333333333333,520.4444444444445,1682.4444444444443,1279.3555555555556,264.1111111111111
July,548.5777777777778,516.0888888888888,1664.7111111111112,1252.8666666666666,261.97777777777776
August,541.6,514.9555555555555,1667.2,1247.7111111111112,262.24444444444447
September,536,519.3333333333334,1664.3111111111111,1259.4888888888888,263.6222222222222
October,526.3555555555556,516.7777777777778,1666.8444444444444,1257.4,266.31111111111113
November,519.2,517.3333333333334,1731.4444444444443,1284.4,279.97777777777776
December,532.4,528.7777777777778,1796.1555555555556,1326.088888888889,271.75555555555553
