year,population_group,gender_male,gender_female,gender_transgender_non_binary_or_two_spirit
2018,All Population,67693,41266,1093
2018,Chronic,20927,11312,410
2018,Families,15499,21094,10
2018,Non-refugees,48317,21955,928
2018,Refugees,19376,19311,165
2018,Single Adult,45522,16402,539
2018,Youth,6672,3770,544
2019,All Population,71834,44069,1175
2019,Chronic,24786,14232,487
2019,Families,15094,20706,10
2019,Non-refugees,52339,25007,1032
2019,Refugees,19495,19062,143
2019,Single Adult,49872,19163,655
2019,Youth,6868,4200,510
2020,All Population,62011,36515,1251
2020,Chronic,27612,14817,525
2020,Families,10301,14078,26
2020,Non-refugees,50502,25100,1127
2020,Refugees,11509,11415,124
2020,Single Adult,46120,18946,891
2020,Youth,5590,3491,334
2021,All Population,63272,34491,1817
2021,Chronic,30305,15024,819
2021,Families,6944,9837,13
2021,Indigenous,6816,4268,501
2021,Non-refugees,56070,28660,1685
2021,Refugees,7202,5831,132
2021,Single Adult,50678,21209,1243
2021,Youth,5650,3445,561
2022,All Population,71972,43414,1836
2022,Chronic,36562,19992,1081
2022,Families,11190,15149,23
2022,Indigenous,7577,4457,492
2022,Non-refugees,55869,28696,1657
2022,Refugees,16103,14718,179
2022,Single Adult,54845,24079,1112
2022,Youth,5937,4186,701
2023,All Population,75665,47762,1847
2023,Chronic,39109,23143,1028
2023,Families,13017,17019,19
2023,Indigenous,6195,3506,382
2023,Non-refugees,46797,24718,1577
2023,Refugees,28868,23044,270
2023,Single Adult,55770,26108,1181
2023,Youth,6878,4635,647
2024,All Population,19998,12591,416
2024,Chronic,10814,7052,250
2024,Families,3272,4337,6
2024,Indigenous,1472,769,87
2024,Non-refugees,10211,5253,340
2024,Refugees,9787,7338,76
2024,Single Adult,14934,7058,269
2024,Youth,1792,1196,141
