date_mmm_yy,Year,Month,Cases,population_group,ageunder16,age16_24,age25_44,age45_64,age65over,total_population
2020-01-01,2020,January,4,All Population,1440,1227,3893,2852,504,9916
2020-02-01,2020,February,14,All Population,1434,1185,3909,2795,511,9834
2020-03-01,2020,March,1884,All Population,1380,1135,3854,2805,506,9680
2020-04-01,2020,April,5727,All Population,1234,1050,3518,2644,489,8935
2020-05-01,2020,May,4754,All Population,1093,964,3151,2523,476,8207
2020-06-01,2020,June,2192,All Population,993,889,2939,2381,466,7668
2020-07-01,2020,July,843,All Population,911,878,2962,2331,470,7552
2020-08-01,2020,August,862,All Population,879,891,3011,2336,463,7580
2020-09-01,2020,September,5181,All Population,806,895,2988,2390,493,7572
2020-10-01,2020,October,8761,All Population,764,891,2904,2429,518,7506
2020-11-01,2020,November,15026,All Population,710,889,3001,2482,504,7586
2020-12-01,2020,December,21792,All Population,661,887,3090,2566,537,7741
2021-01-01,2021,January,22426,All Population,619,892,3165,2607,546,7829
2021-02-01,2021,February,9847,All Population,609,884,3226,2599,553,7871
2021-03-01,2021,March,18549,All Population,584,863,3186,2573,539,7745
2021-04-01,2021,April,35194,All Population,573,906,3010,2499,528,7516
2021-05-01,2021,May,15106,All Population,569,901,3083,2492,530,7575
2021-06-01,2021,June,1909,All Population,618,979,3295,2594,551,8037
2021-07-01,2021,July,990,All Population,673,972,3430,2682,565,8322
2021-08-01,2021,August,4094,All Population,701,972,3524,2701,581,8479
2021-09-01,2021,September,3960,All Population,787,1011,3588,2781,593,8760
2021-10-01,2021,October,2086,All Population,847,1052,3665,2833,595,8992
2021-11-01,2021,November,2768,All Population,849,1060,3753,2921,616,9199
2021-12-01,2021,December,61838,All Population,901,1054,3733,2930,637,9255
2022-01-01,2022,January,46169,All Population,909,1055,3807,2987,652,9410
2022-02-01,2022,February,8292,All Population,920,1096,3843,3045,655,9559
2022-03-01,2022,March,11369,All Population,1012,1165,3991,3104,661,9933
2022-04-01,2022,April,17323,All Population,1053,1175,3919,3104,662,9913
2022-05-01,2022,May,8991,All Population,1073,1180,3757,3057,665,9732
2022-06-01,2022,June,5977,All Population,1091,1193,3780,3014,674,9752
2022-07-01,2022,July,11858,All Population,1125,1165,3830,2974,674,9768
2022-08-01,2022,August,7859,All Population,1114,1156,3837,2942,675,9724
2022-09-01,2022,September,5516,All Population,1126,1158,3815,2939,652,9690
2022-10-01,2022,October,6907,All Population,1155,1132,3845,2860,630,9622
2022-11-01,2022,November,4524,All Population,1134,1139,3930,2882,626,9711
2022-12-01,2022,December,5721,All Population,1273,1234,4286,2994,621,10408
2023-01-01,2023,January,4643,All Population,1272,1242,4494,3082,612,10702
2023-02-01,2023,February,2601,All Population,1231,1233,4645,3136,604,10849
2023-03-01,2023,March,2004,All Population,1237,1237,4649,3083,605,10811
2023-04-01,2023,April,1596,All Population,1225,1249,4496,2945,600,10515
2023-05-01,2023,May,1242,All Population,1242,1272,4494,2845,600,10453
2023-06-01,2023,June,811,All Population,1282,1310,4471,2781,574,10418
2023-07-01,2023,July,583,All Population,1279,1314,4339,2626,552,10110
2023-08-01,2023,August,920,All Population,1262,1292,4351,2550,533,9988
2023-09-01,2023,September,1898,All Population,1267,1323,4516,2571,535,10212
2023-10-01,2023,October,2474,All Population,1223,1303,4536,2518,531,10111
2023-11-01,2023,November,3288,All Population,1265,1327,4772,2605,529,10498
2023-12-01,2023,December,3792,All Population,1264,1349,4873,2594,527,10607
2024-01-01,2024,January,2333,All Population,1259,1338,5124,2731,547,10999
2024-02-01,2024,February,671,All Population,1254,1338,5268,2763,550,11173
