date_mmm_yy,population_group,ageunder16,age16_24,age25_44,age45_64,age65over,month_number,total_population
2018-01-01,All Population,1233,1111,2901,2291,422,1,7958
2018-02-01,All Population,1271,1094,2971,2364,432,2,8132
2018-03-01,All Population,1414,1115,3214,2429,435,3,8607
2018-04-01,All Population,1615,1126,3377,2459,456,4,9033
2018-05-01,All Population,1830,1153,3590,2487,456,5,9516
2018-06-01,All Population,1937,1217,3703,2505,461,6,9823
2018-07-01,All Population,1835,1213,3651,2446,457,7,9602
2018-08-01,All Population,1810,1223,3604,2458,462,8,9557
2018-09-01,All Population,1721,1171,3477,2507,465,9,9341
2018-10-01,All Population,1609,1180,3403,2475,477,10,9144
2018-11-01,All Population,1656,1190,3603,2633,475,11,9557
2018-12-01,All Population,1708,1207,3717,2694,456,12,9782
2019-01-01,All Population,1738,1264,3768,2786,473,13,10029
2019-02-01,All Population,1676,1233,3756,2833,484,14,9982
2019-03-01,All Population,1687,1238,3806,2833,479,15,10043
2019-04-01,All Population,1730,1243,3814,2869,486,16,10142
2019-05-01,All Population,1772,1225,3877,2813,497,17,10184
2019-06-01,All Population,1725,1270,3909,2707,489,18,10100
2019-07-01,All Population,1657,1246,3646,2547,462,19,9558
2019-08-01,All Population,1607,1220,3505,2522,468,20,9322
2019-09-01,All Population,1559,1256,3380,2482,464,21,9141
2019-10-01,All Population,1549,1219,3443,2524,471,22,9206
2019-11-01,All Population,1475,1185,3646,2658,493,23,9457
2019-12-01,All Population,1480,1216,3887,2815,516,24,9914
2020-01-01,All Population,1440,1227,3893,2852,504,25,9916
2020-02-01,All Population,1434,1185,3909,2795,511,26,9834
2020-03-01,All Population,1380,1135,3854,2805,506,27,9680
2020-04-01,All Population,1234,1050,3518,2644,489,28,8935
2020-05-01,All Population,1093,964,3151,2523,476,29,8207
2020-06-01,All Population,993,889,2939,2381,466,30,7668
2020-07-01,All Population,911,878,2962,2331,470,31,7552
2020-08-01,All Population,879,891,3011,2336,463,32,7580
2020-09-01,All Population,806,895,2988,2390,493,33,7572
2020-10-01,All Population,764,891,2904,2429,518,34,7506
2020-11-01,All Population,710,889,3001,2482,504,35,7586
2020-12-01,All Population,661,887,3090,2566,537,36,7741
2021-01-01,All Population,619,892,3165,2607,546,37,7829
2021-02-01,All Population,609,884,3226,2599,553,38,7871
2021-03-01,All Population,584,863,3186,2573,539,39,7745
2021-04-01,All Population,573,906,3010,2499,528,40,7516
2021-05-01,All Population,569,901,3083,2492,530,41,7575
2021-06-01,All Population,618,979,3295,2594,551,42,8037
2021-07-01,All Population,673,972,3430,2682,565,43,8322
2021-08-01,All Population,701,972,3524,2701,581,44,8479
2021-09-01,All Population,787,1011,3588,2781,593,45,8760
2021-10-01,All Population,847,1052,3665,2833,595,46,8992
2021-11-01,All Population,849,1060,3753,2921,616,47,9199
2021-12-01,All Population,901,1054,3733,2930,637,48,9255
2022-01-01,All Population,909,1055,3807,2987,652,49,9410
2022-02-01,All Population,920,1096,3843,3045,655,50,9559
2022-03-01,All Population,1012,1165,3991,3104,661,51,9933
2022-04-01,All Population,1053,1175,3919,3104,662,52,9913
2022-05-01,All Population,1073,1180,3757,3057,665,53,9732
2022-06-01,All Population,1091,1193,3780,3014,674,54,9752
2022-07-01,All Population,1125,1165,3830,2974,674,55,9768
2022-08-01,All Population,1114,1156,3837,2942,675,56,9724
2022-09-01,All Population,1126,1158,3815,2939,652,57,9690
2022-10-01,All Population,1155,1132,3845,2860,630,58,9622
2022-11-01,All Population,1134,1139,3930,2882,626,59,9711
2022-12-01,All Population,1273,1234,4286,2994,621,60,10408
2023-01-01,All Population,1272,1242,4494,3082,612,61,10702
2023-02-01,All Population,1231,1233,4645,3136,604,62,10849
2023-03-01,All Population,1237,1237,4649,3083,605,63,10811
2023-04-01,All Population,1225,1249,4496,2945,600,64,10515
2023-05-01,All Population,1242,1272,4494,2845,600,65,10453
2023-06-01,All Population,1282,1310,4471,2781,574,66,10418
2023-07-01,All Population,1279,1314,4339,2626,552,67,10110
2023-08-01,All Population,1262,1292,4351,2550,533,68,9988
2023-09-01,All Population,1267,1323,4516,2571,535,69,10212
2023-10-01,All Population,1223,1303,4536,2518,531,70,10111
2023-11-01,All Population,1265,1327,4772,2605,529,71,10498
2023-12-01,All Population,1264,1349,4873,2594,527,72,10607
