,,,,,,,,,,,,"Reportable Communicable Diseases
 Monthly Report - December 2020",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Disease,2020 Cases,2020 Rate1,January,February,March,April,May,June,July,August,September,October,November,December,December 3 yr. Average2,2019 Total Cases,2019 Total Rate1,,,
,Sexually Transmitted and Bloodborne,,,,,,,,,,,,,,,,,,,,
,AIDS,30,1.0,2,3,2,3,3,3,2,4,1,1,2,4,1,25,0.8,,,
,HIV ,411,13.9,55,53,55,22,20,30,31,28,34,28,26,29,40,562,18.9,,,
,Chlamydia,"10,393",350.4,"1,381","1,173",916,481,506,663,829,919,967,861,914,783,"1,008","15,025",506.6,,,
,Chancroid,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Gonorrhea,"3,627",122.3,457,372,298,145,170,260,283,310,333,356,348,295,339,"4,898",165.2,,,
,Hepatitis B - cases,4,0.1,1,2,0,0,0,0,0,1,0,0,0,0,<1,7,0.2,,,
,Hepatitis B - carriers,364,12.3,72,47,9,13,7,13,15,40,46,34,36,32,48,662,22.3,,,
,Hepatitis B - unclassified3,223,7.5,29,27,21,6,4,25,17,12,19,19,22,22,22,361,12.2,,,
,Hepatitis C,463,15.6,64,36,37,21,19,35,44,49,33,49,43,33,50,752,25.4,,,
,Ophthalmia neonatorum,1,<0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,,,
,"Syphilis, infectious","1,244",41.9,131,112,106,60,71,77,86,108,130,116,140,107,95,"1,372",46.3,,,
,"Syphilis, other",256,8.6,38,29,23,10,10,7,20,18,29,22,23,27,24,386,13.0,,,
,"Enteric, Food and Waterborne",,,,,,,,,,,,,,,,,,,,
,Amebiasis,140,4.7,19,14,11,8,8,11,14,13,11,14,11,6,16,234,7.9,,,
,Botulism,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Campylobacter enteritis,400,13.5,58,41,23,14,20,42,34,52,55,27,24,10,34,750,25.3,,,
,Cholera,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,<0.1,,,
,Cryptosporidiosis,58,2.0,9,12,7,1,0,5,10,10,2,0,1,1,7,146,4.9,,,
,Cyclosporiasis,65,2.2,0,0,1,0,2,19,36,6,0,1,0,0,<1,101,3.4,,,
,Food poisoning,10,0.3,0,1,0,0,9,0,0,0,0,0,0,0,2,11,0.4,,,
,Giardiasis,228,7.7,31,45,28,6,3,10,19,28,19,24,10,5,29,420,14.2,,,
,Hepatitis A,13,0.4,5,3,1,1,0,0,2,1,0,0,0,0,4,51,1.7,,,
,Listeriosis,17,0.6,0,1,1,3,1,0,0,4,0,3,3,1,17,13,0.4,,,
,Paralytic shellfish poisoning,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Paratyphoid fever,6,0.2,1,1,3,0,0,0,0,1,0,0,0,0,1,10,0.3,,,
,Salmonellosis,291,9.8,37,28,27,8,14,31,34,36,23,19,13,21,34,502,16.9,,,
,Shigellosis,93,3.1,19,18,5,6,3,9,8,3,4,3,9,6,14,131,4.4,,,
,Trichinosis,1,<0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,<0.1,,,
,Typhoid fever,12,0.4,1,2,2,1,1,0,1,1,2,0,0,1,2,27,0.9,,,
,Verotoxin-producing E. coli infection,20,0.7,4,2,2,1,1,2,1,3,1,3,0,0,1,43,1.4,,,
,Yersiniosis,55,1.9,9,5,5,2,2,5,1,4,9,4,7,2,6,90,3.0,,,
,Vaccine Preventable ,,,,,,,,,,,,,,,,,,,,
,Acute flaccid paralysis,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Adverse vaccine reactions,57,1.9,7,10,5,0,3,0,2,3,0,5,7,15,10,106,3.6,,,
,Chickenpox,126,4.2,35,35,21,1,10,0,3,0,1,7,11,2,28,511,17.2,,,
,Diphtheria,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,"Haemophilus influenzae, invasive4",15,0.5,3,6,0,1,2,0,0,0,0,2,0,1,2,53,1.8,,,
,Influenza - sporadic,"1,823",61.5,"1,274",404,143,0,2,0,0,0,0,0,0,0,530,"2,551",86.0,,,
,Influenza - outbreak associated,86,2.9,79,7,0,0,0,0,0,0,0,0,0,0,36,309,10.4,,,
,Measles,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.2,,,
,Mumps,25,0.8,8,11,5,0,1,0,0,0,0,0,0,0,2,32,1.1,,,
,Pertussis,16,0.5,2,9,4,1,0,0,0,0,0,0,0,0,4,68,2.3,,,
,Rubella,1,<0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,"Rubella, congenital syndrome",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Tetanus,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Direct Contact and Respiratory,,,,,,,,,,,,,,,,,,,,
,COVID-19,"67,040",2260.5,4,14,"1,884","5,727","4,754","2,192",843,862,"5,181","8,761","15,026","21,792",NA,NA,NA,,,
,Legionellosis,50,1.7,3,1,4,2,3,5,4,14,2,7,3,2,7,71,2.4,,,
,Leprosy,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,<1,1,<0.1,,,
,"Meningococcal disease, invasive",6,0.2,0,2,1,0,0,0,1,0,0,0,2,0,0,6,0.2,,,
,"Group A Streptococcal disease, invasive",182,6.1,31,21,27,18,20,9,11,9,5,7,10,14,17,223,7.5,,,
,"Group B Streptococcal disease, neonatal",13,0.4,0,0,2,1,0,1,0,1,2,2,3,1,<1,11,0.4,,,
,"Pneumococcal disease, invasive",125,4.2,28,18,21,6,8,7,5,6,3,7,5,11,34,249,8.4,,,
,TB: Atypical mycobacterial infections,128,4.3,33,35,29,6,4,5,2,1,4,5,1,3,30,396,13.4,,,
,Tuberculosis5,272,9.2,18,28,31,18,18,24,22,25,22,27,19,20,22,330,11.1,,,
,Vectorborne and Zoonotics,,,,,,,,,,,,,,,,,,,,
,Brucellosis,3,0.1,1,0,1,0,0,0,0,0,1,0,0,0,<1,2,<0.1,,,
