,,,,,,,,,,,,"Reportable Communicable Diseases
 Monthly Report - December 2022",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Disease,2022 YTD Cases,2022 YTD Rate1,January,February,March,April,May,June,July,August,September,October,November,December,December 3 yr. Average2,2021 Total Cases,2021Total Rate1,,,,,,
,Sexually Transmitted and Bloodborne,,,,,,,,,,,,,,,,,,,,,,,
,AIDS,26,0.9,3,4,1,2,2,4,3,2,2,1,1,1,2,18,0.6,,,,,,
,HIV ,511,17.2,34,28,36,38,47,41,44,48,56,48,41,50,32,320,10.8,,,,,,
,Chlamydia,"11,915",401.8,774,814,"1,101",981,"1,026","1,075",952,"1,019","1,080",983,"1,181",929,901,"10,378",349.9,,,,,,
,Chancroid,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
,Gonorrhea,"5,327",179.6,321,303,478,440,469,495,466,458,472,465,520,440,310,"3,740",126.1,,,,,,
,Hepatitis B - cases,4,0.1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0.0,,,,,,
,Hepatitis B - carriers,234,7.9,22,17,22,14,24,11,14,26,29,22,18,15,35,364,12.3,,,,,,
,Hepatitis B - unclassified3,544,18.3,32,26,50,46,43,46,51,39,64,38,62,47,22,310,10.5,,,,,,
,Hepatitis C,483,16.3,38,30,51,33,46,40,48,57,43,34,33,30,39,469,15.8,,,,,,
,Ophthalmia neonatorum,1,<0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,,,,,,
,"Syphilis, infectious","1,724",58.1,130,128,141,144,136,137,156,167,138,137,172,138,109,"1,423",48.0,,,,,,
,"Syphilis, other",666,22.5,39,46,51,51,47,53,53,67,65,71,71,52,30,431,14.5,,,,,,
,"Enteric, Food and Waterborne",,,,,,,,,,,,,,,,,,,,,,,
,Amebiasis,148,5.0,6,10,8,11,20,18,19,10,9,11,13,13,9,101,3.4,,,,,,
,Botulism,1,<0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,,,,,,
,Campylobacter enteritis,390,13.2,14,16,34,23,28,44,44,47,43,40,30,27,23,353,11.9,,,,,,
,Cholera,2,<0.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,,
,Cryptosporidiosis,69,2.3,3,4,6,2,6,2,12,18,5,5,5,1,7,62,2.1,,,,,,
,Cyclosporiasis,154,5.2,0,0,0,1,12,79,43,9,4,1,2,3,1,15,0.5,,,,,,
,Food poisoning,20,0.7,0,0,9,0,2,0,0,5,4,0,0,0,<1,0,0.0,,,,,,
,Giardiasis,184,6.2,12,12,14,18,11,17,20,20,25,12,8,15,13,156,5.3,,,,,,
,Hepatitis A,18,0.6,2,1,1,1,1,0,1,0,5,1,2,3,1,14,0.5,,,,,,
,Listeriosis,19,0.6,2,1,1,2,1,0,2,2,3,1,2,2,<1,20,0.7,,,,,,
,Paralytic shellfish poisoning,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
,Paratyphoid fever,11,0.4,0,1,1,3,0,2,0,1,3,0,0,0,<1,3,0.1,,,,,,
,Salmonellosis,324,10.9,17,16,18,23,45,27,36,32,33,37,20,20,24,254,8.6,,,,,,
,Shigellosis,116,3.9,3,6,10,5,8,7,9,10,31,12,8,7,7,65,2.2,,,,,,
,Trichinosis,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
,Typhoid fever,27,0.9,1,2,3,3,3,1,0,3,7,1,0,3,<1,5,0.2,,,,,,
,Verotoxin-producing E. coli infection,40,1.3,0,2,4,2,2,5,6,6,3,4,1,5,1,25,0.8,,,,,,
,Yersiniosis,80,2.7,1,5,9,6,6,3,9,7,12,10,7,5,4,82,2.8,,,,,,
,Vaccine Preventable ,,,,,,,,,,,,,,,,,,,,,,,
,Acute flaccid paralysis,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
,Adverse vaccine reactions,62,2.1,4,4,1,1,3,7,8,12,4,3,13,2,11,54,1.8,,,,,,
,Chickenpox,225,7.6,18,13,11,22,21,18,30,9,19,23,20,21,15,105,3.5,,,,,,
,COVID-19,"140,506","4,737.7","46,169","8,292","11,369","17,323","8,991","5,977","11,858","7,859","5,516","6,907","4,524","5,721",NA,"178,767","6,027.8",,,,,,
,Diphtheria,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
,"Haemophilus influenzae, invasive",26,0.9,0,0,1,0,1,0,1,0,2,5,10,6,2,8,0.3,,,,,,
,Influenza - sporadic,"3,870",130.5,1,2,9,37,79,61,17,13,55,358,"2,345",893,257,17,0.6,,,,,,
,Influenza - outbreak associated,235,7.9,0,0,0,9,3,4,0,0,4,3,126,86,11,0,0.0,,,,,,
,Measles,1,<0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
,Monkeypox4,497,16.8,NA,NA,NA,NA,NA,130,238,107,16,3,0,3,NA,NA,NA,,,,,,
,Mumps,9,0.3,1,0,1,0,0,0,0,1,1,1,2,2,2,1,<0.1,,,,,,
,Pertussis,11,0.4,0,0,2,0,1,1,0,0,2,1,3,1,1,0,0.0,,,,,,
,Rubella,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
,"Rubella, congenital syndrome",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
,Tetanus,1,<0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,,,,,,
,Direct Contact and Respiratory,,,,,,,,,,,,,,,,,,,,,,,
,Legionellosis,51,1.7,1,1,1,2,6,5,3,6,12,4,8,2,6,77,2.6,,,,,,
,Leprosy,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
,"Meningococcal disease, invasive",11,0.4,1,0,1,0,0,1,4,2,0,0,2,0,0,4,0.1,,,,,,
,"Group A Streptococcal disease, invasive",119,4.0,13,7,10,5,6,6,10,9,9,10,16,18,17,119,4.0,,,,,,
,"Group B Streptococcal disease, neonatal",4,0.1,0,0,0,0,0,0,0,1,1,0,1,1,<1,9,0.3,,,,,,
,"Pneumococcal disease, invasive",191,6.4,25,7,10,12,13,12,8,3,15,20,37,29,22,96,3.2,,,,,,
,TB: Atypical mycobacterial infections,34,1.1,8,4,2,2,0,1,1,4,1,4,3,4,13,36,1.2,,,,,,
,Tuberculosis5,299,10.1,19,25,23,25,18,27,24,31,32,20,24,31,20,284,9.6,,,,,,
,Vectorborne and Zoonotics,,,,,,,,,,,,,,,,,,,,,,,
