,,,,"Reportable Communicable Diseases
 Monthly Report - December 2023",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Disease,2023 YTD Cases,2023 YTD Rate1,January,February,March,April,May,June,July,August,September,October,November,December,December 3 yr. Average2,2022 YTD Cases,2022 YTD Rate1,2022 Total Cases,2022 Total Rate1,,,,,,,,,
,Sexually Transmitted and Bloodborne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AIDS,17,0.6,2,1,2,1,5,2,3,1,0,0,0,0,2,26,1,26,0.9,,,,,,,,,
,HIV ,732,24.7,56,54,55,47,75,70,71,71,47,78,60,48,33,511,17,511,17.2,,,,,,,,,
,Chlamydia,"10,926",368.4,"1,018",881,"1,131","1,011","1,150","1,310","1,289","1,310",549,428,478,371,750,"10,438",352,"10,438",352.0,,,,,,,,,
,Chancroid,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
,Gonorrhea,"7,215",243.3,484,433,524,456,599,694,724,697,697,672,680,555,302,"4,683",158,"4,683",157.9,,,,,,,,,
,Hepatitis B - cases,4,0.1,0,0,0,0,0,0,0,2,0,0,0,2,<1,4,0,4,0.1,,,,,,,,,
,Hepatitis B - carriers,330,11.1,18,17,17,14,21,40,42,33,33,43,33,19,24,234,8,234,7.9,,,,,,,,,
,Hepatitis B - unclassified3,534,18.0,52,44,76,51,50,30,34,34,25,34,52,52,31,544,18,544,18.3,,,,,,,,,
,Hepatitis C4,584,19.7,44,38,45,45,33,58,61,53,54,51,63,39,33,483,16,483,16.3,,,,,,,,,
,Ophthalmia neonatorum,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,<0.1,1,<0.1,,,,,,,,,
,"Syphilis, infectious","1,312",44.2,122,113,145,96,101,131,131,109,102,90,102,70,112,"1,524",51,"1,524",51.4,,,,,,,,,
,"Syphilis, other",683,23.0,77,56,54,40,70,56,53,63,61,55,63,35,34,579,20,579,19.5,,,,,,,,,
,"Enteric, Food and Waterborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amebiasis,141,4.8,16,9,11,15,14,7,9,9,19,10,7,15,9,148,5,148,5.0,,,,,,,,,
,Botulism,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,<0.1,1,<0.1,,,,,,,,,
,Campylobacter enteritis,509,17.2,21,41,20,36,33,43,73,89,59,43,28,23,20,390,13,390,13.2,,,,,,,,,
,Cholera,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,<0.1,2,<0.1,,,,,,,,,
,Cryptosporidiosis,89,3.0,4,4,3,1,6,8,15,15,12,4,8,9,3,69,2,69,2.3,,,,,,,,,
,Cyclosporiasis,165,5.6,0,2,0,2,43,61,44,10,1,0,1,1,2,154,5,154,5.2,,,,,,,,,
,Food poisoning,9,0.3,0,3,0,1,2,1,0,2,0,0,0,0,0,20,1,20,0.7,,,,,,,,,
,Giardiasis,262,8.8,17,24,27,11,20,20,20,36,23,17,20,27,10,184,6,184,6.2,,,,,,,,,
,Hepatitis A,46,1.6,4,2,3,1,3,3,1,8,7,7,4,3,1,18,1,18,0.6,,,,,,,,,
,Listeriosis,21,0.7,2,1,2,3,1,2,1,3,1,0,2,3,1,19,1,19,0.6,,,,,,,,,
,Paralytic shellfish poisoning,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
,Paratyphoid fever,14,0.5,0,2,4,2,1,2,1,0,1,1,0,0,0,11,0,11,0.4,,,,,,,,,
,Salmonellosis,456,15.4,40,34,34,34,41,35,52,46,41,37,35,27,22,324,11,324,10.9,,,,,,,,,
,Shigellosis,118,4.0,9,6,13,3,13,9,8,5,12,13,13,14,6,116,4,116,3.9,,,,,,,,,
,Trichinosis,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
