date_mmm_yy,ageunder16,age16_24,age25_44,age45_64,age65over
2018-01-01,1233,1111,2901,2291,422
2018-01-01,223,346,716,1000,247
2018-01-01,914,241,961,270,22
2018-01-01,1232,187,687,153,18
2018-01-01,0,924,0,0,0
2018-01-01,0,0,2214,2138,404
2018-01-01,319,870,1940,2021,400
2018-02-01,1271,1094,2971,2364,432
2018-02-01,202,362,707,1017,253
2018-02-01,965,253,951,303,19
2018-02-01,1268,197,688,167,16
2018-02-01,0,893,0,0,0
2018-02-01,0,0,2283,2197,416
2018-02-01,306,841,2020,2061,413
2018-03-01,1414,1115,3214,2429,435
2018-03-01,226,377,728,1026,257
2018-03-01,1121,250,1102,331,22
2018-03-01,1412,210,811,192,11
2018-03-01,0,905,0,0,0
2018-03-01,0,0,2403,2237,424
2018-03-01,293,865,2112,2098,413
2018-04-01,1615,1126,3377,2459,456
2018-04-01,236,381,755,1023,258
2018-04-01,1321,258,1218,351,22
2018-04-01,1613,217,918,192,13
2018-04-01,0,909,0,0,0
2018-04-01,0,0,2459,2267,443
2018-04-01,294,868,2159,2108,434
2018-05-01,1830,1153,3590,2487,456
2018-05-01,242,376,768,1050,261
2018-05-01,1552,290,1442,386,24
2018-05-01,1828,231,1059,221,11
2018-05-01,0,921,0,0,0
2018-05-01,0,0,2531,2266,445
2018-05-01,278,863,2148,2101,432
2018-06-01,1937,1217,3703,2505,461
2018-06-01,272,381,778,1041,253
2018-06-01,1639,323,1546,410,29
2018-06-01,1937,265,1120,235,11
2018-06-01,0,950,0,0,0
2018-06-01,0,0,2583,2270,450
2018-06-01,298,894,2157,2095,432
2018-07-01,1835,1213,3651,2446,457
2018-07-01,302,384,812,1039,254
2018-07-01,1499,327,1478,391,30
2018-07-01,1831,259,1058,227,12
2018-07-01,0,953,0,0,0
2018-07-01,0,0,2593,2219,445
2018-07-01,336,886,2173,2055,427
2018-08-01,1810,1223,3604,2458,462
2018-08-01,281,371,815,1030,269
2018-08-01,1413,333,1424,408,24
2018-08-01,1806,289,1059,243,14
2018-08-01,0,934,0,0,0
2018-08-01,0,0,2545,2215,448
2018-08-01,397,890,2180,2050,438
2018-09-01,1721,1171,3477,2507,465
2018-09-01,244,362,803,1045,262
2018-09-01,1272,326,1300,383,23
2018-09-01,1720,284,963,241,13
2018-09-01,0,886,0,0,0
